Id,关卡Id,行为Id,行为类型,参数1,参数2,参数3,参数4,参数5,说明,对应地图
589844,9,20,16,0,0,0,0,0,解冻玩家,9
589845,9,21,0,3,-1,0,0,0,激活第3组出生点,9
655361,10,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),3
655362,10,2,2,100,0,0,0,0,计时器100开始计时(开局行为),3
655363,10,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),3
655364,10,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),3
655365,10,5,15,0,0,0,0,0,锁定玩家（开局）,3
655366,10,6,16,0,0,0,0,0,解冻玩家,3
655367,10,7,2,101,0,0,0,0,计时器101开始计时,3
655368,10,8,11,57,0,0,0,0,任务目标：前往蚁狮武士的巢穴,3
655369,10,9,0,1,-1,0,0,0,激活第1组出生点,3
655370,10,10,0,2,-1,0,0,0,激活第2组出生点,3
655371,10,11,0,3,-1,0,0,0,激活第3组出生点,3
655372,10,12,0,4,-1,0,0,0,激活第4组出生点,3
655373,10,13,0,5,-1,0,0,0,激活第5组出生点,3
655374,10,14,12,0,0,0,0,0,副本停止计时,3
655375,10,15,2,102,0,0,0,0,计时器102开始计时,3
655376,10,16,11,5,0,0,0,0,显示计时器102计时,3
655377,10,17,8,0,0,0,0,0,关卡结束,3
720897,11,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),12
720898,11,2,2,100,0,0,0,0,计时器100开始计时(开局行为),12
720899,11,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),12
720900,11,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),12
720901,11,5,15,0,0,0,0,0,锁定玩家（开局）,12
720902,11,6,16,0,0,0,0,0,解冻玩家,12
720903,11,7,2,101,0,0,0,0,计时器101开始计时,12
720904,11,8,11,58,0,0,0,0,任务目标：找到蚁狮武士巢穴的入口,12
720905,11,9,0,1,-1,0,0,0,激活第1组出生点,12
720906,11,10,0,2,-1,0,0,0,激活第2组出生点,12
720907,11,11,0,3,-1,0,0,0,激活第3组出生点,12
720908,11,12,0,4,-1,0,0,0,激活第4组出生点,12
720909,11,13,0,5,-1,0,0,0,激活第5组出生点,12
720910,11,14,0,6,-1,0,0,0,激活第6组出生点,12
720911,11,15,0,7,-1,0,0,0,激活第7组出生点,12
720912,11,16,0,8,-1,0,0,0,激活第8组出生点,12
720913,11,17,12,0,0,0,0,0,副本停止计时,12
720914,11,18,2,102,0,0,0,0,计时器102开始计时,12
720915,11,19,11,5,0,0,0,0,显示计时器102计时,12
720916,11,20,8,0,0,0,0,0,关卡结束,12
786433,12,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),13
786434,12,2,2,100,0,0,0,0,计时器100开始计时(开局行为),13
786435,12,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),13
786436,12,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),13
786437,12,5,15,0,0,0,0,0,锁定玩家（开局）,13
786438,12,6,16,0,0,0,0,0,解冻玩家,13
786439,12,7,2,101,0,0,0,0,计时器101开始计时,13
786440,12,8,11,58,0,0,0,0,任务目标：猎杀蚁狮武士,13
786441,12,9,0,1,-1,0,0,0,激活第1组出生点,13
786442,12,10,0,2,-1,0,0,0,激活第2组出生点,13
786443,12,11,0,3,-1,0,0,0,激活第3组出生点,13
786444,12,12,0,4,-1,0,0,0,激活第4组出生点,13
786445,12,13,0,5,-1,0,0,0,激活第5组出生点,13
786446,12,14,0,6,-1,0,0,0,激活第6组出生点,13
786447,12,15,12,0,0,0,0,0,副本停止计时,13
786448,12,16,2,102,0,0,0,0,计时器102开始计时,13
786449,12,17,11,5,0,0,0,0,显示计时器102计时,13
786450,12,18,14,0,0,0,0,0,副本结束,13
786451,12,19,6,2,0,1,0,0,宝箱,13
786452,12,20,13,1,0,0,0,0,掉落界面,13
851969,13,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),3
851970,13,2,2,100,0,0,0,0,计时器100开始计时(开局行为),3
851971,13,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),3
851972,13,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),3
851973,13,5,15,0,0,0,0,0,锁定玩家（开局）,3
851974,13,6,16,0,0,0,0,0,解冻玩家,3
851975,13,7,2,101,0,0,0,0,计时器101开始计时,3
851976,13,8,11,57,0,0,0,0,任务目标：前往蚁狮武士的巢穴,3
851977,13,9,0,1,-1,0,0,0,激活第1组出生点,3
851978,13,10,0,2,-1,0,0,0,激活第2组出生点,3
851979,13,11,0,3,-1,0,0,0,激活第3组出生点,3
851980,13,12,0,4,-1,0,0,0,激活第4组出生点,3
851981,13,13,0,5,-1,0,0,0,激活第5组出生点,3
851982,13,14,12,0,0,0,0,0,副本停止计时,3
851983,13,15,2,102,0,0,0,0,计时器102开始计时,3
851984,13,16,11,5,0,0,0,0,显示计时器102计时,3
851985,13,17,8,0,0,0,0,0,关卡结束,3
917505,14,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),12
917506,14,2,2,100,0,0,0,0,计时器100开始计时(开局行为),12
917507,14,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),12
917508,14,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),12
917509,14,5,15,0,0,0,0,0,锁定玩家（开局）,12
917510,14,6,16,0,0,0,0,0,解冻玩家,12
917511,14,7,2,101,0,0,0,0,计时器101开始计时,12
917512,14,8,11,58,0,0,0,0,任务目标：找到蚁狮武士巢穴的入口,12
917513,14,9,0,1,-1,0,0,0,激活第1组出生点,12
917514,14,10,0,2,-1,0,0,0,激活第2组出生点,12
917515,14,11,0,3,-1,0,0,0,激活第3组出生点,12
917516,14,12,0,4,-1,0,0,0,激活第4组出生点,12
917517,14,13,0,5,-1,0,0,0,激活第5组出生点,12
917518,14,14,0,6,-1,0,0,0,激活第6组出生点,12
917519,14,15,0,7,-1,0,0,0,激活第7组出生点,12
917520,14,16,0,8,-1,0,0,0,激活第8组出生点,12
917521,14,17,12,0,0,0,0,0,副本停止计时,12
917522,14,18,2,102,0,0,0,0,计时器102开始计时,12
917523,14,19,11,5,0,0,0,0,显示计时器102计时,12
917524,14,20,8,0,0,0,0,0,关卡结束,12
983041,15,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),13
983042,15,2,2,100,0,0,0,0,计时器100开始计时(开局行为),13
983043,15,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),13
983044,15,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),13
983045,15,5,15,0,0,0,0,0,锁定玩家（开局）,13
983046,15,6,16,0,0,0,0,0,解冻玩家,13
983047,15,7,2,101,0,0,0,0,计时器101开始计时,13
983048,15,8,11,58,0,0,0,0,任务目标：猎杀蚁狮武士,13
983049,15,9,0,1,-1,0,0,0,激活第1组出生点,13
983050,15,10,0,2,-1,0,0,0,激活第2组出生点,13
983051,15,11,0,3,-1,0,0,0,激活第3组出生点,13
983052,15,12,0,4,-1,0,0,0,激活第4组出生点,13
983053,15,13,0,5,-1,0,0,0,激活第5组出生点,13
983054,15,14,0,6,-1,0,0,0,激活第6组出生点,13
983055,15,15,12,0,0,0,0,0,副本停止计时,13
983056,15,16,2,102,0,0,0,0,计时器102开始计时,13
983057,15,17,11,5,0,0,0,0,显示计时器102计时,13
983058,15,18,14,0,0,0,0,0,副本结束,13
983059,15,19,6,2,0,1,0,0,宝箱,13
983060,15,20,13,1,0,0,0,0,掉落界面,13
1048577,16,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),3
1048578,16,2,2,100,0,0,0,0,计时器100开始计时(开局行为),3
1048579,16,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),3
1048580,16,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),3
1048581,16,5,15,0,0,0,0,0,锁定玩家（开局）,3
1048582,16,6,16,0,0,0,0,0,解冻玩家,3
1048583,16,7,2,101,0,0,0,0,计时器101开始计时,3
1048584,16,8,11,57,0,0,0,0,任务目标：前往蚁狮武士的巢穴,3
1048585,16,9,0,1,-1,0,0,0,激活第1组出生点,3
1048586,16,10,0,2,-1,0,0,0,激活第2组出生点,3
1048587,16,11,0,3,-1,0,0,0,激活第3组出生点,3
1048588,16,12,0,4,-1,0,0,0,激活第4组出生点,3
1048589,16,13,0,5,-1,0,0,0,激活第5组出生点,3
1048590,16,14,12,0,0,0,0,0,副本停止计时,3
1048591,16,15,2,102,0,0,0,0,计时器102开始计时,3
1048592,16,16,11,5,0,0,0,0,显示计时器102计时,3
1048593,16,17,8,0,0,0,0,0,关卡结束,3
1114113,17,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),12
1114114,17,2,2,100,0,0,0,0,计时器100开始计时(开局行为),12
1114115,17,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),12
1114116,17,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),12
1114117,17,5,15,0,0,0,0,0,锁定玩家（开局）,12
1114118,17,6,16,0,0,0,0,0,解冻玩家,12
1114119,17,7,2,101,0,0,0,0,计时器101开始计时,12
